id,skill,race_mask,class_mask,status
117,44,65535,4,OK_ALL_16
122,172,65535,2,OK_ALL_16
123,160,65535,2,OK_ALL_16
124,160,65535,1024,OK_ALL_16
125,55,65535,4,OK_ALL_16
126,45,65535,4,OK_ALL_16
127,45,65535,13,OK_ALL_16
128,226,65535,9,OK_ALL_16
129,173,65535,264,OK_ALL_16
131,118,65535,8,OK_ALL_16
132,118,65535,5,OK_ALL_16
133,46,65535,4,OK_ALL_16
134,46,65535,9,OK_ALL_16
138,136,65535,1488,OK_ALL_16
139,136,65535,5,OK_ALL_16
140,43,65535,1,OK_ALL_16
142,176,65535,8,OK_ALL_16
143,176,65535,4,OK_ALL_16
144,228,65535,400,OK_ALL_16
323,173,65535,208,OK_ALL_16
325,54,65535,8,OK_ALL_16
328,43,65535,4,OK_ALL_16
330,473,65535,1101,OK_ALL_16
621,172,65535,1,OK_ALL_16
622,172,65535,1,OK_ALL_16
624,160,65535,1,OK_ALL_16
625,160,65535,1,OK_ALL_16
626,55,65535,1,OK_ALL_16
628,44,65535,1,OK_ALL_16
629,44,65535,1,OK_ALL_16
630,44,65535,1,OK_ALL_16
631,173,65535,4,OK_ALL_16
632,173,65535,1,OK_ALL_16
633,173,65535,1,OK_ALL_16
634,173,65535,4,OK_ALL_16
635,46,65535,4,OK_ALL_16
636,54,65535,1,OK_ALL_16
637,54,65535,1,OK_ALL_16
638,43,65535,1,OK_ALL_16
639,176,65535,1,OK_ALL_16
640,176,65535,1,OK_ALL_16
641,173,65535,1024,OK_ALL_16
642,173,65535,1,OK_ALL_16
643,54,65535,1024,OK_ALL_16
644,54,65535,4,OK_ALL_16
701,172,65535,64,OK_ALL_16
702,160,65535,64,OK_ALL_16
872,43,65535,8,OK_ALL_16
878,226,65535,4,OK_ALL_16
879,226,65535,4,OK_ALL_16
880,43,65535,4,OK_ALL_16
881,43,65535,384,OK_ALL_16
883,118,65535,64,OK_ALL_16
884,55,65535,2,OK_ALL_16
885,43,65535,2,OK_ALL_16
886,43,65535,2,OK_ALL_16
888,54,65535,2,OK_ALL_16
889,54,65535,2,OK_ALL_16
898,55,65535,32,OK_ALL_16
901,55,65535,2,OK_ALL_16
907,172,65535,32,OK_ALL_16
908,160,65535,32,OK_ALL_16
910,43,65535,32,OK_ALL_16
912,44,65535,32,OK_ALL_16
913,118,65535,32,OK_ALL_16
914,54,65535,32,OK_ALL_16
915,229,65535,32,OK_ALL_16
970,172,65535,4,OK_ALL_16
41,98,674,1503,PRESENT
45,111,2043,1503,PRESENT
49,109,7245,1503,PRESENT
91,137,1535,1503,PRESENT
939,778,65535,1535,PRESENT
947,,,,REMOVED
