"ID","RaceID","ClassID"
"1","1","1"
"2","1","2"
"3","1","4"
"4","1","5"
"5","1","6"
"6","1","8"
"7","1","9"
"8","2","1"
"9","2","3"
"10","2","4"
"11","2","6"
"12","2","7"
"13","2","9"
"14","3","1"
"15","3","2"
"16","3","3"
"17","3","4"
"18","3","5"
"19","3","6"
"20","4","1"
"21","4","3"
"22","4","4"
"23","4","5"
"24","4","6"
"25","4","11"
"26","5","1"
"27","5","4"
"28","5","5"
"29","5","6"
"30","5","8"
"31","5","9"
"32","6","1"
"33","6","3"
"34","6","6"
"35","6","7"
"36","6","11"
"37","7","1"
"38","7","4"
"39","7","6"
"40","7","8"
"41","7","9"
"42","8","1"
"43","8","3"
"44","8","4"
"45","8","5"
"46","8","6"
"47","8","7"
"48","8","8"
"49","9","1"
"50","9","3"
"51","9","4"
"52","9","5"
"53","9","6"
"54","9","7"
"55","9","8"
"56","9","9"
"57","10","2"
"58","10","3"
"59","10","4"
"60","10","5"
"61","10","6"
"62","10","8"
"63","10","9"
"64","11","1"
"65","11","2"
"66","11","3"
"67","11","5"
"68","11","6"
"69","11","7"
"70","11","8"
"71","12","1"
"72","12","3"
"73","12","4"
"74","12","5"
"75","12","6"
"76","12","8"
"77","12","9"
"78","12","11"
"79","13","1"
"80","13","2"
"81","13","3"
"82","13","4"
"83","13","5"
"84","13","6"
"85","13","8"
"86","13","9"
"87","14","1"
"88","14","3"
"89","14","4"
"90","14","6"
"91","14","7"
"92","14","9"
