"ID","BonusActionBar","Name_Lang_enUS","Name_Lang_enGB","Name_Lang_koKR","Name_Lang_frFR","Name_Lang_deDE","Name_Lang_enCN","Name_Lang_zhCN","Name_Lang_enTW","Name_Lang_zhTW","Name_Lang_esES","Name_Lang_esMX","Name_Lang_ruRU","Name_Lang_ptPT","Name_Lang_ptBR","Name_Lang_itIT","Name_Lang_Unk","Name_Lang_Mask","Flags","CreatureType","AttackIconID","CombatRoundTime","CreatureDisplayID_1","CreatureDisplayID_2","CreatureDisplayID_3","CreatureDisplayID_4","PresetSpellID_1","PresetSpellID_2","PresetSpellID_3","PresetSpellID_4","PresetSpellID_5","PresetSpellID_6","PresetSpellID_7","PresetSpellID_8"
"1","1","Cat Form","","","","","","","","","","","","","","","","16712190","760","1","1534","1000","892","0","0","0","0","0","0","0","0","0","0","0"
"2","2","Tree of Life Form","","","","","","","","","","","","","","","","16712190","2257","4","0","0","864","0","0","0","0","0","0","0","0","0","0","0"
"3","0","Travel Form","","","","","","","","","","","","","","","","16712190","216","1","0","0","918","0","0","0","0","0","0","0","0","0","0","0"
"4","0","Aquatic Form","","","","","","","","","","","","","","","","16712190","216","1","0","0","2428","0","0","0","0","0","0","0","0","0","0","0"
"5","3","Bear Form","","","","","","","","","","","","","","","","16712190","728","1","496","2500","2281","0","0","0","0","0","0","0","0","0","0","0"
"6","0","Ambient","","","","","","","","","","","","","","","","16712190","0","0","0","0","328","0","0","0","0","0","0","0","0","0","0","0"
"7","0","Ghoul","","","","","","","","","","","","","","","","16712190","9689","6","0","0","25527","0","0","0","6603","47468","47481","47482","47480","0","47484","47496"
"8","3","Dire Bear Form","","","","","","","","","","","","","","","","16712190","728","1","496","2500","2281","0","0","0","0","0","0","0","0","0","0","0"
"9","0","Steve's Ghoul","","","","","","","","","","","","","","","","16712190","128","-1","0","0","24994","0","0","0","0","0","0","0","0","0","0","0"
"10","0","Tharon'ja Skeleton","","","","","","","","","","","","","","","","16712190","1034","6","0","0","9784","0","0","0","50799","49613","49609","49617","0","0","0","0"
"11","0","Darkmoon - Test of Strength","","","","","","","","","","","","","","","","16712190","1226","-1","0","0","0","0","0","0","62022","62023","62024","62025","0","0","0","0"
"12","0","BLB Player","","","","","","","","","","","","","","","","16712190","0","-1","0","0","0","0","0","0","44029","44752","44083","44010","44012","44817","0","0"
"13","2","Shadow Dance","","","","","","","","","","","","","","","","16712190","1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","0","Creature - Bear","","","","","","","","","","","","","","","","16712190","0","1","0","0","2281","0","0","0","0","0","0","0","0","0","0","0"
"15","0","Creature - Cat","","","","","","","","","","","","","","","","16712190","0","1","0","0","892","0","0","0","0","0","0","0","0","0","0","0"
"16","0","Ghost Wolf","","","","","","","","","","","","","","","","16712190","216","1","0","0","4613","0","0","0","0","0","0","0","0","0","0","0"
"17","1","Battle Stance","","","","","","","","","","","","","","","","16712190","7","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","2","Defensive Stance","","","","","","","","","","","","","","","","16712190","7","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","3","Berserker Stance","","","","","","","","","","","","","","","","16712190","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0","Test","","","","","","","","","","","","","","","","16712190","0","-1","0","0","0","0","0","0","6603","20577","0","0","0","0","0","0"
"21","0","Zombie","","","","","","","","","","","","","","","","16712190","5150","6","0","0","26942","0","0","0","57596","51230","56560","43949","56528","0","0","0"
"22","0","Metamorphosis","","","","","","","","","","","","","","","","16712190","216","3","0","0","25277","0","0","0","0","0","0","0","0","0","0","0"
"23","0","","","","","","","","","","","","","","","","","16712188","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","0","","","","","","","","","","","","","","","","","16712188","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","0","Undead","","","","","","","","","","","","","","","","16712190","205","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","0","Frenzy","","","","","","","","","","","","","","","","16712190","216","1","0","0","17170","0","0","0","0","0","0","0","0","0","0","0"
"27","0","Flight Form, Epic","","","","","","","","","","","","","","","","16712190","8","1","0","0","21243","0","0","0","0","0","0","0","0","0","0","0"
"28","1","Shadowform","","","","","","","","","","","","","","","","16712190","9","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","0","Flight Form","","","","","","","","","","","","","","","","16712190","8","1","0","0","20857","0","0","0","0","0","0","0","0","0","0","0"
"30","1","Stealth","","","","","","","","","","","","","","","","16712190","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","4","Moonkin Form","","","","","","","","","","","","","","","","16712190","2753","-1","0","0","15374","15375","0","0","0","0","0","0","0","0","0","0"
"32","0","Spirit of Redemption","","","","","","","","","","","","","","","","16712190","16640","-1","0","0","16031","0","0","0","0","0","0","0","0","0","0","0"
"33","0","Running Wild","","","","","","","","","","","","","","","","16712190","216","1","0","0","94133","94134","0","0","0","0","0","0","0","0","0","0"
