"ID","Name_Lang_enUS","Name_Lang_enGB","Name_Lang_koKR","Name_Lang_frFR","Name_Lang_deDE","Name_Lang_enCN","Name_Lang_zhCN","Name_Lang_enTW","Name_Lang_zhTW","Name_Lang_esES","Name_Lang_esMX","Name_Lang_ruRU","Name_Lang_ptPT","Name_Lang_ptBR","Name_Lang_itIT","Name_Lang_Unk","Name_Lang_Mask","SpellIconID","RaceMask","ClassMask","PetTalentMask","OrderIndex","BackgroundFile"
"81","Arcane","비전","Arcanes","Arkan","奥术","秘法","Arcano","Arcano","Тайная магия","","","","","","","","16712190","125","16383","128","0","0","MageArcane"
"161","Arms","무기","Armes","Waffen","武器","武器","Armas","Armas","Оружие","","","","","","","","16712190","514","16383","1","0","0","WarriorArms"
"182","Assassination","암살","Assassinat","Meucheln","刺杀","刺殺","Asesinato","Asesinato","Ликвидация","","","","","","","","16712190","514","16383","8","0","0","RogueAssassination"
"201","Discipline","수양","Discipline","Disziplin","戒律","戒律","Disciplina","Disciplina","Послушание","","","","","","","","16712190","685","16383","16","0","0","PriestDiscipline"
"261","Elemental","정기","Elémentaire","Elementar","元素","元素","Elemental","Elemental","Стихии","","","","","","","","16712190","62","16383","64","0","0","ShamanElementalCombat"
"283","Balance","조화","Equilibre","Gleichgewicht","平衡","平衡","Equilibrio","Equilibrio","Баланс","","","","","","","","16712190","225","16383","1024","0","0","DruidBalance"
"302","Affliction","고통","Affliction","Gebrechen","痛苦","痛苦","Aflicción","Aflicción","Колдовство","","","","","","","","16712190","88","16383","256","0","0","WarlockCurses"
"361","Beast Mastery","야수","Maîtrise des bêtes","Tierherrschaft","野兽控制","野獸控制","Bestias","Bestias","Повелитель зверей","","","","","","","","16712190","255","16383","4","0","0","HunterBeastMastery"
"382","Holy","신성","Sacré","Heilig","神圣","神聖","Sagrado","Sagrado","Свет","","","","","","","","16712190","70","16383","2","0","0","PaladinHoly"
"398","Blood","혈기","Sang","Blut","鲜血","血魄","Sangre","Sangre","Кровь","","","","","","","","16712190","2636","16383","32","0","0","DeathKnightBlood"
